block_type,grid,epoch,acc_row,acc_col,acc_real_4dir,acc_same_row_4,acc_shuffle_row,delta_direction,order_utilization
gru,32,51,0.7079,0.6853,0.7817,0.743,0.6122,0.03869999999999996,0.09570000000000001
gru,32,52,0.7179,0.6923,0.7823,0.7457,0.6178,0.036599999999999966,0.10009999999999997
gru,32,53,0.7153,0.6934,0.7799,0.7343,0.6177,0.045600000000000085,0.09760000000000002
gru,32,54,0.7144,0.6944,0.7821,0.7404,0.6162,0.04170000000000007,0.09820000000000007
gru,32,55,0.7151,0.7005,0.7758,0.7405,0.6168,0.0353,0.09829999999999994
gru,32,56,0.7111,0.6967,0.7786,0.7346,0.6115,0.04399999999999993,0.09959999999999991
gru,32,57,0.72,0.6954,0.7823,0.7472,0.6119,0.03510000000000002,0.10809999999999997
gru,32,58,0.7149,0.7004,0.7803,0.7364,0.6162,0.04389999999999994,0.09870000000000001
gru,32,59,0.7149,0.6987,0.7838,0.7457,0.6184,0.03810000000000002,0.09650000000000003
gru,32,60,0.7137,0.7016,0.7802,0.7464,0.6238,0.03380000000000005,0.08989999999999998
gru,32,61,0.7229,0.7012,0.7842,0.75,0.6241,0.03420000000000001,0.0988
gru,32,62,0.7241,0.7009,0.7806,0.7475,0.6245,0.03309999999999991,0.09959999999999991
gru,32,63,0.7284,0.6999,0.782,0.7475,0.6243,0.034499999999999975,0.10410000000000008
gru,32,64,0.7222,0.6934,0.7833,0.7444,0.6186,0.038900000000000046,0.10359999999999991
gru,32,65,0.7246,0.6992,0.7849,0.7495,0.6276,0.03539999999999999,0.09699999999999998
gru,32,66,0.7268,0.7011,0.7836,0.7466,0.6228,0.03699999999999992,0.10399999999999998
gru,32,67,0.7298,0.7012,0.7866,0.755,0.6258,0.03159999999999996,0.10399999999999998
gru,32,68,0.7277,0.7007,0.7856,0.7496,0.6213,0.03599999999999992,0.10640000000000005
gru,32,69,0.7269,0.7004,0.7893,0.7542,0.6211,0.03510000000000002,0.1058
gru,32,70,0.7283,0.7006,0.7826,0.7511,0.6236,0.03149999999999997,0.1046999999999999
gru,32,71,0.7244,0.7022,0.7848,0.7534,0.6243,0.031400000000000095,0.10010000000000008
gru,32,72,0.7287,0.7028,0.7911,0.7535,0.6266,0.03760000000000008,0.10209999999999997
gru,32,73,0.7292,0.7108,0.7888,0.7541,0.6273,0.03469999999999995,0.10189999999999999
gru,32,74,0.7331,0.7051,0.7927,0.7534,0.6242,0.0393,0.1089
gru,32,75,0.7268,0.7063,0.792,0.7522,0.6252,0.03980000000000006,0.10160000000000002
