batch,dataset,arch,block,d_model,grid,seq_len,exp_id,group,seed,epochs,tail_val_acc,tail_train_acc,final_val_acc,param_count,source
earlier,cifar10,channel_split,gru,64,8,64,channel_same_row_4,GEO_S,2,100,68.0665,67.1304,68.18,18314,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_row_4,GEO_S,3,100,67.6355,66.7682,67.71,18314,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_row_4,GEO_S,4,100,67.827,67.455,67.84,18314,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_rand_perm_4,RND_D,0,100,64.102,63.2155,64.23,18314,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_rand_perm_4,RND_D,1,100,64.998,64.3403,65.09,18314,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_rand_perm_4,RND_D,2,100,64.565,63.9136,64.65,18314,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_rand_perm_4,RND_D,3,100,64.221,63.0066,64.48,18314,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_rand_perm_4,RND_D,4,100,64.624,63.6029,64.82,18314,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_perm_4,RND_S,0,100,63.68,63.0515,63.84,18314,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_perm_4,RND_S,1,100,64.8745,63.9876,64.97,18314,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_perm_4,RND_S,2,100,64.4635,63.7802,64.62,18314,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_perm_4,RND_S,3,100,62.7495,62.5363,62.84,18314,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_perm_4,RND_S,4,100,63.999,63.2493,64.09,18314,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_real_4dir,GEO_DIV,0,100,82.261,92.4707,82.35,277002,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_real_4dir,GEO_DIV,1,100,82.276,92.7393,82.39,277002,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_real_4dir,GEO_DIV,2,100,82.292,92.7761,82.41,277002,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_real_4dir,GEO_DIV,3,100,82.0675,93.0307,82.06,277002,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_real_4dir,GEO_DIV,4,100,82.4615,93.3081,82.64,277002,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_row_4,GEO_S,0,100,81.795,93.0463,81.91,277002,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_row_4,GEO_S,1,100,81.6985,92.3319,81.78,277002,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_row_4,GEO_S,2,100,81.55,93.008,81.57,277002,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_row_4,GEO_S,3,100,81.806,92.3023,81.83,277002,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_row_4,GEO_S,4,100,81.6235,92.4427,81.64,277002,csplit_d256_seed4/stage1_results.json
